时间,MEC,NEERI,SHPE,SZPE,Deposit,Loan,M2,PPI,PPI_pro,PPI_ex,PPI_raw,PPI_fac,PPI_liv,PPI_food,PPI_clo,PPI_gen,PPI_dur,IPI,RECI_imputed,CPI_seasadj,CPI_food_seasadj,CPI_health_seasadj,CPI_trans_seasadj,Consumption_imputed_seasadj,Import_seasadj,Export_seasadj,M0_seasadj,M1_seasadj,Trade_balance_seasadj
2019/9/1,98.0716,97.18,13.82,23.94,1907341.286,1499247.455,1952250.49,98.5333765665314,96.9531931783965,94.8814106028202,95.4650107407724,97.5864428252585,104.691086010483,110.218152023428,110.796717955516,105.305040104154,93.5719951717817,99.4784258954701,101.23,121.61540938698,141.524306935666,127.99162314691,96.9785450913865,35422.23256,1698.07200610444,2087.7028803241,73840.1257101381,558323.946225383,389.63087421966
2019/10/1,96.8862,97.12,13.93,24.29,1909712.991,1505860.723,1945600.55,98.4449504868982,96.78369844,95.0684640984506,95.4660587031075,97.4925926686792,105.106322311956,111.39059888086,110.687573797036,104.983692898015,93.3875054442489,99.6906705205018,101.28,122.753898274681,147.073685836377,128.05659670747,97.1014889702231,35620.6206133533,1782.55144248164,2120.1011287596,74532.8082710927,558442.403552328,337.54968627796
2019/11/1,94.5064,98.05,13.72,24.03,1922790.607,1519741.233,1961429.56,98.5847327036374,96.6653114477073,94.2618288727679,95.1561304900353,97.3385079789646,105.523941426751,112.675765739163,110.686495710844,104.674651102682,93.3841546150731,99.4461438531863,101.3,123.51647695148,151.074094106735,128.181947512937,96.9348069794984,35564.9632765576,1757.11349396259,2056.7662114177,74927.0511887913,559542.092107904,299.65271745511
2019/12/1,91.1827,97.81,14.55,26.15,1928785.33,1531123.2,1986488.82,98.3688184740166,96.6307222468244,94.4213860274674,95.0598138683324,97.5170896148943,105.315470646048,112.356734925465,110.575918900224,104.671017930391,93.0055508212181,99.6333466832415,101.27,123.466073100752,149.135172099208,128.3361739,97.4837550356075,35713.742237452,1784.87730872575,2176.33729364305,75760.9595782366,566555.745788533,391.4599849
2020/1/1,88.0258,98.88,14.42,26.73,1958065.97,1564498.05,2023066.49,98.721501652214,96.7437831064406,94.9091932030731,95.2741179690242,97.2364482051836,104.875219836922,112.292527396387,110.419235190256,103.92865766611,92.3513256413405,99.5356202474317,100.33,124.236087823335,151.15294077391,129.213884528315,98.4880716215408,36093.3409407199,1779.04126093438,2135.18522586768,77564.3019043897,556739.022660866,356.1439649
2020/2/1,86.369,99.08,14.08,27.13,1968311.42,1573554.86,2030830.42,98.0821787972698,95.9719625808616,93.4823260006705,94.1136450953876,96.9236947964487,104.882848645704,112.429247099926,110.5283516,103.938782852265,92.2650083415938,99.2386554993162,97.45,125.167470599323,155.830300506954,129.519407601725,97.2809184748428,36385.0035801864,1592.62107996004,1214.57090004824,82149.3274263544,569916.37316968,-378.0501799
2020/3/1,86.8328,100.24,13.44,24.75,2009932.57,1602089.22,2080923.41,97.055116367676,94.8063018856191,89.7112854465792,91.2957178940373,96.7754581490249,104.787384320319,112.132095402765,110.100781552595,104.053468832058,92.359258962894,98.2926280018858,98.27,124.130075739978,153.328763887824,129.64216249398,94.6023618642066,28961.5291029475,1643.88432745071,1873.66976871179,81214.7666077301,574583.143843385,229.78544126108
2020/4/1,89.073,100.68,14.07,25.27,2022634.9,1619066.91,2093533.83,95.7550013592966,93.2019814300227,83.2679797595601,88.0637008127322,96.068578846417,104.687034732435,112.054377369388,109.67292121647,103.846803442738,92.3592893363976,96.0165453630397,98.96,123.538146347823,151.613589878123,129.829938337859,93.100109710814,32763.3689933259,1615.12809815245,2099.57764313535,80116.5206660072,578818.04065353,484.449545
2020/5/1,92.1144,99.72,13.09,25.65,2045739.6,1633888.15,2100183.74,95.2008144925456,92.8602279939094,81.3644968251233,87.3322375183062,95.7850128755117,104.378460424149,111.304408252607,109.676584746844,103.952275932146,92.1697342484431,94.792486107808,99.46,123.015667350635,148.647735013062,129.876098469091,93.0988195425499,34074.2043393284,1449.52714022199,2081.00956640788,79974.2570066682,585207.231636504,631.48242618589
2020/6/1,94.9619,98.27,13.9,28.55,2074780.26,1651998.58,2134948.66,95.6718368155957,93.2259300742987,85.0268746417354,87.7341129601499,96.0182549924256,104.484603928949,111.968723668969,109.67578738243,104.056098915941,92.0781065217579,95.3150446664895,99.92,123.346841861532,151.258979960249,129.860109017179,93.0828428640929,34494.3061668727,1691.22126335561,2094.43225309417,80220.5645063782,588983.555188473,403.21098973856
2020/7/1,97.0817,98.67,15.58,32.66,2075582.83,1661925.21,2125458.46,95.959224624073,93.6971727167411,87.8562109593556,88.6298586434727,96.0048785360416,104.693984434566,112.296244239192,109.351716910588,103.740031095627,92.2666828638425,96.2144538023752,100.15,123.669343,153.654186712648,129.840736737935,92.7780587625722,34633.8947687246,1736.6826097149,2282.1704240438,80772.9831295496,591900.760461444,545.4878143
